name residence
Aztec_Tetelcingo-30 patrilocal
Cahuilla-12 patrilocal
Comanche-5 ambilocal
Cora-27 -
Cupeno-13 patrilocal
Gabrielino-15 patrilocal
Guarijio-22 neolocal
Hopi-16 matrilocal
Huichol-28 matrilocal
Kawaiisu-6 ambilocal
Kiowa-35 ambilocal
Kitanemuk-34 patrilocal
Luiseno-14 patrilocal
Mayo-25 patrilocal
Mono-1 matrilocal
Northern_Paiute-2 ambilocal
Northern_Tepehuan-19 patrilocal
Opata-20 patrilocal
Pannamint-3 ambilocal
Papago-Pima-17 patrilocal
Pima_de_Onavas-18 patrilocal
Pipil-32 -
San_Juan_Pueblo_Tewa-36 matrilocal
Serrano-11 patrilocal
Shoshoni_Gosiute_Dialect-4 ambilocal
Southern_Paiute-8 ambilocal
Southern_Ute-9 matrilocal
Tarahumara-23 neolocal
Tubatulabel-10 patrilocal
Yaqui-26 ambilocal
